"Primer","Project","tubeID","Dilution","Rep","BestTaxon","nReads","station","lat","lon","depth","depth_cat"
"MFU","52193","1000","d5","1","Cataetyx rubrirostris",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Ceramaster",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Ceratoscopelus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Chauliodus macouni",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Chilara taylori",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Citharichthys",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Citharichthys sordidus",51832,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Citharichthys stigmaeus",46,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Clupea pallasii",56,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Cololabis saira",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Cottidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Cryptacanthodes aleutensis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Cryptacanthodes giganteus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Cyclothone",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Cyclothone acclinidens",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Cyclothone atraria",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Cyclothone pseudopallida",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Cyclothone signata",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Danaphos oculatus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Dasyscopelus obtusirostris",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Delphinidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Delphinus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Dermasterias imbricata",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Diaphus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Diaphus dumerilii",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Diaphus theta",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Diprotodontia",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Engraulis mordax",920,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Eopsetta jordani",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Eschrichtius robustus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Eumetopias jubatus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Exocoetidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Gadidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Gadus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Gadus chalcogrammus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Gadus macrocephalus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Galeorhinus galeus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Gallus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Gasterosteus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Gibbonsia montereyensis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Gilbertaster anacanthus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Glyptocephalus zachirus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Gobiesox maeandricus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Grampus griseus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Hemilepidotus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Hemiramphidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Hemiramphus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Hemiramphus far",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Heteropriacanthus cruentatus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Hexagrammos decagrammus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Hippoglossus stenolepis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Holtbyrnia latifrons",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Homo sapiens",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Hydrolagus colliei",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Hypomesus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Icichthys lockingtoni",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Icosteus aenigmaticus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Idiacanthus antrostomus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Jordania zonope",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Kogia sima",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lagenorhynchus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lagenorhynchus obliquidens",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lampadena urophaos",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lampanyctus tenuiformis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lepidopsetta",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Leptocottus armatus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Leuroglossus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Liparis fucensis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Liparis mucosus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Liparis pulchellus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lipolagus ochotensis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lumpenus sagitta",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lycenchelys",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lycodapus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lycodapus mandibularis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lycodapus parviceps",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lycodes",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lycodes cortezianus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lycodes diapterus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Lyopsetta exilis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Macropodidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Macropus fuliginosus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Macropus giganteus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Magnisudis atlantica",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Mallotus villosus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Megaptera novaeangliae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Melamphaes lugubris",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Melanostigma pammelas",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Merluccius",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Merluccius angustimanus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Merluccius productus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Microgadus proximus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Microstomus pacificus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Mirounga angustirostris",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Mola",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Mola tecta",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Mulloidichthys",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Myctophidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Nannobrachium",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Nannobrachium fernae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Nannobrachium regale",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Nansenia",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Nansenia candida",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Odontaster",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Oncorhynchus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Oncorhynchus gorbuscha",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Oncorhynchus keta",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Oncorhynchus kisutch",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Oncorhynchus tshawytscha",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Ophiodon elongatus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Opostomias mitsuii",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Orcinus orca",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Orthonopias triacis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Osphranter",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Osphranter robustus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Osphranter rufus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Oxylebius pictus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Paralepididae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Parvilux ingens",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Patiria miniata",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Peprilus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Phalacrocorax pelagicus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Phoca vitulina",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Phocoena",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Phocoena phocoena",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Phocoenoides dalli",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Pholidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Pholis laeta",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Pholis ornata",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Physeter catodon",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Pisaster ochraceus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Plectobranchus evides",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Pleuronectidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Pleuronichthys coenosus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Pleuronichthys decurrens",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Prionace glauca",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Protomyctophum",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Protomyctophum crockeri",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Protomyctophum thompsoni",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Pseudobathylagus milleri",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Radulinus asprellus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Rathbunella hypoplecta",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Ronquilus jordani",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Ruscarius",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sagamichthys abei",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sardinops sagax",121,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Scomber japonicus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Scopelosaurus harryi",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Scorpaenichthys marmoratus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sebastes",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sebastes entomelas",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sebastes mystinus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sebastes paucispinis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sebastidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Serrivomer",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sparisoma",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Spirinchus starksi",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Squalus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Stenella coeruleoalba",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Stenobrachius",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Stenobrachius leucopsarus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Stenobrachius nannochir",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sternoptyx",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sternoptyx pseudobscura",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sternoptyx pseudodiaphana",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sus scrofa",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Symbolophorus californiensis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Tactostoma macropus",12,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Tarletonbeania",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Tarletonbeania crenularis",99204,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Thaleichthys pacificus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Thunnus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Thunnus orientalis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Trachipterus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Trachipterus altivelis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Trachurus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Trachurus symmetricus",219,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Tursiops truncatus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Uria",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Vinciguerria nimbaria",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Xiphister",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Ziphius cavirostris",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Zoarcidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1007","d1","1","Agonopsis vulsa",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Allosmerus elongatus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Alosa",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Alosa alabamae",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Ammodytidae",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Anarrhichthys ocellatus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Anoplarchus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Anoplopoma fimbria",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Apristurus brunneus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Arctozenus risso",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Ariosoma balearicum",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Artedius",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Artedius corallinus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Artedius fenestralis",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Artedius harringtoni",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Artedius lateralis",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Artiodactyla",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Ascelichthys rhodorus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Astronesthes",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Atherinopsis californiensis",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Balaena",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Balaena mysticetus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Balaenoptera",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Balaenoptera acutorostrata",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Balaenoptera musculus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Balaenoptera physalus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Bathyagonus pentacanthus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Bathylagidae",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Bathylagoides wesethi",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Bathyraja spinicauda",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Benthalbella dentata",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Berardius bairdii",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Beringraja",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Beringraja binoculata",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Beringraja inornata",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Bos taurus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Canis",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Canis lupus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Careproctus melanurus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Cataetyx rubrirostris",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Ceramaster",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Ceratoscopelus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Chauliodus macouni",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Chilara taylori",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Citharichthys",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Citharichthys sordidus",10710,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Citharichthys stigmaeus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Clupea pallasii",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Cololabis saira",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Cottidae",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Cryptacanthodes aleutensis",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Cryptacanthodes giganteus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Cyclothone",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Cyclothone acclinidens",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Cyclothone atraria",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Cyclothone pseudopallida",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Cyclothone signata",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Danaphos oculatus",0,"60-1",44.23212833,-124.247595,0,0
