V1,V2,V3
-123.754320987654,49.4,-125.997497558594
-123.737598204265,49.4,-130.627502441406
-123.720875420875,49.4,-151.244995117188
-123.704152637486,49.4,-164.494995117188
-123.687429854097,49.4,-168.934997558594
-123.670707070707,49.4,-170.065002441406
-123.653984287318,49.4,-166.375
-123.637261503928,49.4,-152.565002441406
-123.620538720539,49.4,-142.565002441406
-123.603815937149,49.4,-124.065002441406
-123.58709315376,49.4,-93.182502746582
-123.57037037037,49.4,-76.0025024414062
-123.553647586981,49.4,3.39750003814697
-123.536924803591,49.4,80.4274978637695
-123.520202020202,49.4,77.4274978637695
-123.503479236813,49.4,19.9375
-123.486756453423,49.4,-8.58250045776367
-123.470033670034,49.4,16.8974990844727
-123.453310886644,49.4,32.0699996948242
-123.436588103255,49.4,1.57000005245209
-123.419865319865,49.4,-122.190002441406
-123.403142536476,49.4,-70.1800003051758
-123.386419753086,49.4,212.110000610352
-123.369696969697,49.4,284.910003662109
-123.352974186308,49.4,69.8499984741211
-123.336251402918,49.4,121.860000610352
-123.319528619529,49.4,55.2799987792969
-123.302805836139,49.4,-173.190002441406
-123.28608305275,49.4,-234.690002441406
-123.26936026936,49.4,-215.190002441406
-123.252637485971,49.4,11.0600004196167
-123.235914702581,49.4,524.059997558594
-123.219191919192,49.4,1050.96997070312
-123.202469135802,49.4,1012.60998535156
-123.185746352413,49.4,946.376647949219
-123.169023569024,49.4,983.756652832031
-123.152300785634,49.4,547.996643066406
-123.135578002245,49.4,202.62663269043
-123.118855218855,49.4,292.476623535156
-123.102132435466,49.4,601.436645507812
-123.085409652076,49.4,958.716613769531
-123.068686868687,49.4,1112.806640625
-123.051964085297,49.4,867.079833984375
-123.035241301908,49.4,414.989868164062
-123.018518518519,49.4,585.869873046875
-123.001795735129,49.4,566.10986328125
-122.98507295174,49.4,191.319854736328
-122.96835016835,49.4,333.939849853516
-122.951627384961,49.4,915.149841308594
-122.934904601571,49.4,1200.03979492188
-122.918181818182,49.4,906.467529296875
-122.901459034792,49.4,691.337524414062
-122.884736251403,49.4,245.907501220703
-122.868013468013,49.4,55.3974990844727
-122.851290684624,49.4,232.427505493164
-122.834567901235,49.4,773.407470703125
-122.817845117845,49.4,925.077514648438
