Sample,Rep,Species,Reads,Prop,Gene,Primer,Taq,BSA,TD
MV3.QMMM.1,1,Hippoglossus stenolepis,7071,0.027716586,16S,MV3,QMMM,0,0
MV3.QMMM.2,2,Hippoglossus stenolepis,3458,0.029763134,16S,MV3,QMMM,0,0
MV3.QMMM.3,3,Hippoglossus stenolepis,3931,0.029374402,16S,MV3,QMMM,0,0
C16.IPSF.1,1,Leuroglossus stilbius,1640,0.054679425,16S,C16,IPSF,0,0
C16.IPSF.2,2,Leuroglossus stilbius,2943,0.060953131,16S,C16,IPSF,0,0
C16.IPSF.3,3,Leuroglossus stilbius,1401,0.055632768,16S,C16,IPSF,0,0
C16.NPHF.1,1,Leuroglossus stilbius,9331,0.060682721,16S,C16,NPHF,0,0
C16.NPHF.2,2,Leuroglossus stilbius,8359,0.061669101,16S,C16,NPHF,0,0
C16.NPHF.3,3,Leuroglossus stilbius,9587,0.060102061,16S,C16,NPHF,0,0
C16.PGTF.1,1,Leuroglossus stilbius,5294,0.081732848,16S,C16,PGTF,1,0
C16.PGTF.2,2,Leuroglossus stilbius,3969,0.079642821,16S,C16,PGTF,1,0
C16.PGTF.3,3,Leuroglossus stilbius,5227,0.079944328,16S,C16,PGTF,1,0
C16.QMMM.1,1,Leuroglossus stilbius,281,0.079988614,16S,C16,QMMM,0,0
C16.QMMM.2,2,Leuroglossus stilbius,184,0.080879121,16S,C16,QMMM,0,0
C16.QMMM.3,3,Leuroglossus stilbius,469,0.093987976,16S,C16,QMMM,0,0
LRY.PGTF.1,1,Leuroglossus stilbius,60212,0.217258898,COI,LRY,PGTF,1,0
LRY.PGTF.2,2,Leuroglossus stilbius,63715,0.225387437,COI,LRY,PGTF,1,0
LRY.PGTF.3,3,Leuroglossus stilbius,65035,0.227674524,COI,LRY,PGTF,1,0
LRY.QMMM.1,1,Leuroglossus stilbius,134086,0.344009606,COI,LRY,QMMM,0,0
LRY.QMMM.2,2,Leuroglossus stilbius,138766,0.359878732,COI,LRY,QMMM,0,0
LRY.QMMM.3,3,Leuroglossus stilbius,89010,0.361519185,COI,LRY,QMMM,0,0
MFU.IPSF.1,1,Leuroglossus stilbius,12512,0.104279702,12S,MFU,IPSF,0,0
MFU.IPSF.2,2,Leuroglossus stilbius,12024,0.102059178,12S,MFU,IPSF,0,0
MFU.IPSF.3,3,Leuroglossus stilbius,11468,0.098817771,12S,MFU,IPSF,0,0
MFU.IPSF.BSA.1,1,Leuroglossus stilbius,10133,0.089999911,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.2,2,Leuroglossus stilbius,10837,0.090120582,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.3,3,Leuroglossus stilbius,8933,0.085280865,12S,MFU,IPSF,1,0
MFU.IPSF.TD.1,1,Leuroglossus stilbius,9754,0.102094433,12S,MFU,IPSF,0,1
MFU.IPSF.TD.2,2,Leuroglossus stilbius,8665,0.108596208,12S,MFU,IPSF,0,1
MFU.IPSF.TD.3,3,Leuroglossus stilbius,6269,0.09579475,12S,MFU,IPSF,0,1
MFU.NPHF.1,1,Leuroglossus stilbius,12111,0.091533648,12S,MFU,NPHF,0,0
MFU.NPHF.2,2,Leuroglossus stilbius,14853,0.09362649,12S,MFU,NPHF,0,0
MFU.NPHF.3,3,Leuroglossus stilbius,15010,0.092306179,12S,MFU,NPHF,0,0
MFU.NPHF.BSA.1,1,Leuroglossus stilbius,14956,0.089761133,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.2,2,Leuroglossus stilbius,12791,0.087158276,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.3,3,Leuroglossus stilbius,8951,0.089981503,12S,MFU,NPHF,1,0
MFU.NPHF.TD.1,1,Leuroglossus stilbius,8385,0.111605063,12S,MFU,NPHF,0,1
MFU.NPHF.TD.2,2,Leuroglossus stilbius,11650,0.121924417,12S,MFU,NPHF,0,1
MFU.NPHF.TD.3,3,Leuroglossus stilbius,14752,0.116515283,12S,MFU,NPHF,0,1
MFU.PGTF.BSA.1,1,Leuroglossus stilbius,18300,0.115245826,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.2,2,Leuroglossus stilbius,17722,0.117729121,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.3,3,Leuroglossus stilbius,20891,0.115330683,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.4,4,Leuroglossus stilbius,13075,0.101675013,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.5,5,Leuroglossus stilbius,8669,0.097364017,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.6,6,Leuroglossus stilbius,8057,0.094593484,12S,MFU,PGTF,1,0
MFU.PGTF.1,1,Leuroglossus stilbius,9767,0.104650166,12S,MFU,PGTF,0,0
MFU.PGTF.2,2,Leuroglossus stilbius,12811,0.108480461,12S,MFU,PGTF,0,0
MFU.PGTF.3,3,Leuroglossus stilbius,11384,0.102681591,12S,MFU,PGTF,0,0
MFU.PGTF.TD.1,1,Leuroglossus stilbius,11084,0.109232103,12S,MFU,PGTF,0,1
MFU.PGTF.TD.2,2,Leuroglossus stilbius,12454,0.107927759,12S,MFU,PGTF,0,1
MFU.PGTF.TD.3,3,Leuroglossus stilbius,7814,0.105417948,12S,MFU,PGTF,0,1
MFU.QMMM.1,1,Leuroglossus stilbius,19974,0.129635639,12S,MFU,QMMM,0,0
MFU.QMMM.2,2,Leuroglossus stilbius,17974,0.129409901,12S,MFU,QMMM,0,0
MFU.QMMM.3,3,Leuroglossus stilbius,11890,0.109405767,12S,MFU,QMMM,0,0
MFU.QMMM.BSA.1,1,Leuroglossus stilbius,46691,0.099296708,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.2,2,Leuroglossus stilbius,42847,0.096140211,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.3,3,Leuroglossus stilbius,48600,0.096438521,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.4,4,Leuroglossus stilbius,10819,0.095876572,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.5,5,Leuroglossus stilbius,10217,0.093183394,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.6,6,Leuroglossus stilbius,12141,0.100679155,12S,MFU,QMMM,1,0
MFU.QMMM.TD.1,1,Leuroglossus stilbius,20508,0.128546177,12S,MFU,QMMM,0,1
MFU.QMMM.TD.2,2,Leuroglossus stilbius,15052,0.122023785,12S,MFU,QMMM,0,1
MFU.QMMM.TD.3,3,Leuroglossus stilbius,14462,0.120179164,12S,MFU,QMMM,0,1
MV1.IPSF.1,1,Leuroglossus stilbius,11873,0.079641269,12S,MV1,IPSF,0,0
MV1.IPSF.2,2,Leuroglossus stilbius,11482,0.084264757,12S,MV1,IPSF,0,0
MV1.IPSF.3,3,Leuroglossus stilbius,6644,0.080275479,12S,MV1,IPSF,0,0
MV1.NPHF.1,1,Leuroglossus stilbius,12454,0.079196714,12S,MV1,NPHF,0,0
MV1.NPHF.2,2,Leuroglossus stilbius,11241,0.075854297,12S,MV1,NPHF,0,0
MV1.NPHF.3,3,Leuroglossus stilbius,6286,0.081826584,12S,MV1,NPHF,0,0
MV1.NPHF.BSA.1,1,Leuroglossus stilbius,13334,0.078339904,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.2,2,Leuroglossus stilbius,10623,0.077347061,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.3,3,Leuroglossus stilbius,11435,0.078760495,12S,MV1,NPHF,1,0
MV1.PGTF.1,1,Leuroglossus stilbius,14683,0.086682646,12S,MV1,PGTF,1,0
MV1.PGTF.2,2,Leuroglossus stilbius,13061,0.084753902,12S,MV1,PGTF,1,0
MV1.PGTF.3,3,Leuroglossus stilbius,11336,0.086933182,12S,MV1,PGTF,1,0
MV1.PGTF.TD.1,1,Leuroglossus stilbius,16060,0.094714618,12S,MV1,PGTF,1,1
MV1.PGTF.TD.2,2,Leuroglossus stilbius,10099,0.094800477,12S,MV1,PGTF,1,1
MV1.PGTF.TD.3,3,Leuroglossus stilbius,14509,0.098039746,12S,MV1,PGTF,1,1
MV1.QMMM.1,1,Leuroglossus stilbius,11323,0.084634531,12S,MV1,QMMM,0,0
MV1.QMMM.2,2,Leuroglossus stilbius,14278,0.085070127,12S,MV1,QMMM,0,0
MV1.QMMM.3,3,Leuroglossus stilbius,9940,0.088913537,12S,MV1,QMMM,0,0
MV3.IPSF.1,1,Leuroglossus stilbius,14332,0.065006577,16S,MV3,IPSF,0,0
MV3.IPSF.2,2,Leuroglossus stilbius,2264,0.06155854,16S,MV3,IPSF,0,0
MV3.IPSF.3,3,Leuroglossus stilbius,2099,0.064354918,16S,MV3,IPSF,0,0
MV3.NPHF.1,1,Leuroglossus stilbius,16500,0.064439784,16S,MV3,NPHF,0,0
MV3.NPHF.2,2,Leuroglossus stilbius,4378,0.068826738,16S,MV3,NPHF,0,0
MV3.NPHF.3,3,Leuroglossus stilbius,5269,0.065153951,16S,MV3,NPHF,0,0
MV3.PGTF.1,1,Leuroglossus stilbius,5063,0.074402269,16S,MV3,PGTF,1,0
MV3.PGTF.2,2,Leuroglossus stilbius,11292,0.074476645,16S,MV3,PGTF,1,0
MV3.PGTF.3,3,Leuroglossus stilbius,5371,0.069534709,16S,MV3,PGTF,1,0
MV3.PGTF.TD.1,1,Leuroglossus stilbius,13532,0.083822691,16S,MV3,PGTF,1,1
MV3.PGTF.TD.2,2,Leuroglossus stilbius,7731,0.084382982,16S,MV3,PGTF,1,1
MV3.PGTF.TD.3,3,Leuroglossus stilbius,9810,0.082522271,16S,MV3,PGTF,1,1
MV3.QMMM.1,1,Leuroglossus stilbius,18508,0.072546821,16S,MV3,QMMM,0,0
MV3.QMMM.2,2,Leuroglossus stilbius,8240,0.070921986,16S,MV3,QMMM,0,0
MV3.QMMM.3,3,Leuroglossus stilbius,10070,0.075248087,16S,MV3,QMMM,0,0
C16.IPSF.1,1,Merluccius productus,36,0.00120028,16S,C16,IPSF,0,0
C16.IPSF.2,2,Merluccius productus,46,0.000952716,16S,C16,IPSF,0,0
C16.IPSF.3,3,Merluccius productus,26,0.001032443,16S,C16,IPSF,0,0
C16.NPHF.1,1,Merluccius productus,95,0.000617818,16S,C16,NPHF,0,0
C16.NPHF.2,2,Merluccius productus,63,0.000464787,16S,C16,NPHF,0,0
C16.NPHF.3,3,Merluccius productus,85,0.000532875,16S,C16,NPHF,0,0
C16.PGTF.1,1,Merluccius productus,19,0.000293337,16S,C16,PGTF,1,0
C16.PGTF.2,2,Merluccius productus,18,0.000361192,16S,C16,PGTF,1,0
C16.PGTF.3,3,Merluccius productus,16,0.000244712,16S,C16,PGTF,1,0
C16.QMMM.1,1,Merluccius productus,3,0.000853971,16S,C16,QMMM,0,0
C16.QMMM.2,2,Merluccius productus,0,0,16S,C16,QMMM,0,0
C16.QMMM.3,3,Merluccius productus,13,0.00260521,16S,C16,QMMM,0,0
LRY.PGTF.1,1,Merluccius productus,58798,0.212156857,COI,LRY,PGTF,1,0
LRY.PGTF.2,2,Merluccius productus,61100,0.216137054,COI,LRY,PGTF,1,0
LRY.PGTF.3,3,Merluccius productus,65184,0.228196143,COI,LRY,PGTF,1,0
LRY.QMMM.1,1,Merluccius productus,78792,0.202147911,COI,LRY,QMMM,0,0
LRY.QMMM.2,2,Merluccius productus,78353,0.203202357,COI,LRY,QMMM,0,0
LRY.QMMM.3,3,Merluccius productus,52687,0.213991251,COI,LRY,QMMM,0,0
MFU.IPSF.1,1,Merluccius productus,5813,0.048447723,12S,MFU,IPSF,0,0
MFU.IPSF.2,2,Merluccius productus,4873,0.041361808,12S,MFU,IPSF,0,0
MFU.IPSF.3,3,Merluccius productus,4950,0.042653293,12S,MFU,IPSF,0,0
MFU.IPSF.BSA.1,1,Merluccius productus,8433,0.074900745,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.2,2,Merluccius productus,8964,0.074544699,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.3,3,Merluccius productus,7277,0.069471493,12S,MFU,IPSF,1,0
MFU.IPSF.TD.1,1,Merluccius productus,3267,0.034195459,12S,MFU,IPSF,0,1
MFU.IPSF.TD.2,2,Merluccius productus,3110,0.038976827,12S,MFU,IPSF,0,1
MFU.IPSF.TD.3,3,Merluccius productus,2028,0.030989273,12S,MFU,IPSF,0,1
MFU.NPHF.1,1,Merluccius productus,13595,0.102749562,12S,MFU,NPHF,0,0
MFU.NPHF.2,2,Merluccius productus,13913,0.087701162,12S,MFU,NPHF,0,0
MFU.NPHF.3,3,Merluccius productus,13491,0.082964867,12S,MFU,NPHF,0,0
MFU.NPHF.BSA.1,1,Merluccius productus,13912,0.083495379,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.2,2,Merluccius productus,11346,0.077312001,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.3,3,Merluccius productus,8488,0.085327114,12S,MFU,NPHF,1,0
MFU.NPHF.TD.1,1,Merluccius productus,1496,0.019911887,12S,MFU,NPHF,0,1
MFU.NPHF.TD.2,2,Merluccius productus,2082,0.021789411,12S,MFU,NPHF,0,1
MFU.NPHF.TD.3,3,Merluccius productus,3095,0.024445147,12S,MFU,NPHF,0,1
MFU.PGTF.BSA.1,1,Merluccius productus,9182,0.057824436,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.2,2,Merluccius productus,8402,0.055815375,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.3,3,Merluccius productus,10926,0.060317986,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.4,4,Merluccius productus,8368,0.065072008,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.5,5,Merluccius productus,5668,0.063658928,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.6,6,Merluccius productus,5157,0.060545935,12S,MFU,PGTF,1,0
MFU.PGTF.1,1,Merluccius productus,5448,0.058373513,12S,MFU,PGTF,0,0
MFU.PGTF.2,2,Merluccius productus,6935,0.058723909,12S,MFU,PGTF,0,0
MFU.PGTF.3,3,Merluccius productus,6262,0.056482091,12S,MFU,PGTF,0,0
MFU.PGTF.TD.1,1,Merluccius productus,2538,0.025011826,12S,MFU,PGTF,0,1
MFU.PGTF.TD.2,2,Merluccius productus,2622,0.022722546,12S,MFU,PGTF,0,1
MFU.PGTF.TD.3,3,Merluccius productus,1766,0.023824942,12S,MFU,PGTF,0,1
MFU.QMMM.1,1,Merluccius productus,1323,0.00858656,12S,MFU,QMMM,0,0
MFU.QMMM.2,2,Merluccius productus,953,0.006861446,12S,MFU,QMMM,0,0
MFU.QMMM.3,3,Merluccius productus,915,0.008419367,12S,MFU,QMMM,0,0
MFU.QMMM.BSA.1,1,Merluccius productus,39183,0.083329612,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.2,2,Merluccius productus,36816,0.082607837,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.3,3,Merluccius productus,41689,0.082724805,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.4,4,Merluccius productus,8223,0.072871157,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.5,5,Merluccius productus,7544,0.068804495,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.6,6,Merluccius productus,9063,0.075154862,12S,MFU,QMMM,1,0
MFU.QMMM.TD.1,1,Merluccius productus,746,0.004676002,12S,MFU,QMMM,0,1
MFU.QMMM.TD.2,2,Merluccius productus,636,0.005155935,12S,MFU,QMMM,0,1
MFU.QMMM.TD.3,3,Merluccius productus,665,0.005526147,12S,MFU,QMMM,0,1
MV1.IPSF.1,1,Merluccius productus,9448,0.063374944,12S,MV1,IPSF,0,0
MV1.IPSF.2,2,Merluccius productus,8227,0.060376777,12S,MV1,IPSF,0,0
MV1.IPSF.3,3,Merluccius productus,5088,0.061475261,12S,MV1,IPSF,0,0
MV1.NPHF.1,1,Merluccius productus,12324,0.078370026,12S,MV1,NPHF,0,0
MV1.NPHF.2,2,Merluccius productus,12267,0.082777748,12S,MV1,NPHF,0,0
MV1.NPHF.3,3,Merluccius productus,6242,0.081253824,12S,MV1,NPHF,0,0
MV1.NPHF.BSA.1,1,Merluccius productus,12654,0.074344768,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.2,2,Merluccius productus,10547,0.076793697,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.3,3,Merluccius productus,10405,0.071666196,12S,MV1,NPHF,1,0
MV1.PGTF.1,1,Merluccius productus,13618,0.080395305,12S,MV1,PGTF,1,0
MV1.PGTF.2,2,Merluccius productus,11167,0.07246358,12S,MV1,PGTF,1,0
MV1.PGTF.3,3,Merluccius productus,9023,0.069195316,12S,MV1,PGTF,1,0
MV1.PGTF.TD.1,1,Merluccius productus,7862,0.046366521,12S,MV1,PGTF,1,1
MV1.PGTF.TD.2,2,Merluccius productus,5023,0.04715148,12S,MV1,PGTF,1,1
MV1.PGTF.TD.3,3,Merluccius productus,8107,0.054780358,12S,MV1,PGTF,1,1
MV1.QMMM.1,1,Merluccius productus,9537,0.071284953,12S,MV1,QMMM,0,0
MV1.QMMM.2,2,Merluccius productus,11539,0.068750819,12S,MV1,QMMM,0,0
MV1.QMMM.3,3,Merluccius productus,7627,0.068223697,12S,MV1,QMMM,0,0
MV3.IPSF.1,1,Merluccius productus,21237,0.096326031,16S,MV3,IPSF,0,0
MV3.IPSF.2,2,Merluccius productus,3255,0.088503997,16S,MV3,IPSF,0,0
MV3.IPSF.3,3,Merluccius productus,2788,0.085479519,16S,MV3,IPSF,0,0
MV3.NPHF.1,1,Merluccius productus,21811,0.085181584,16S,MV3,NPHF,0,0
MV3.NPHF.2,2,Merluccius productus,4859,0.076388561,16S,MV3,NPHF,0,0
MV3.NPHF.3,3,Merluccius productus,7131,0.088178558,16S,MV3,NPHF,0,0
MV3.PGTF.1,1,Merluccius productus,9555,0.140413526,16S,MV3,PGTF,1,0
MV3.PGTF.2,2,Merluccius productus,22240,0.146684431,16S,MV3,PGTF,1,0
MV3.PGTF.3,3,Merluccius productus,10701,0.138538619,16S,MV3,PGTF,1,0
MV3.PGTF.TD.1,1,Merluccius productus,8978,0.05561337,16S,MV3,PGTF,1,1
MV3.PGTF.TD.2,2,Merluccius productus,4593,0.05013207,16S,MV3,PGTF,1,1
MV3.PGTF.TD.3,3,Merluccius productus,6913,0.058152544,16S,MV3,PGTF,1,1
MV3.QMMM.1,1,Merluccius productus,54515,0.213685432,16S,MV3,QMMM,0,0
MV3.QMMM.2,2,Merluccius productus,24532,0.211147834,16S,MV3,QMMM,0,0
MV3.QMMM.3,3,Merluccius productus,29604,0.221215925,16S,MV3,QMMM,0,0
C16.IPSF.1,1,Oncorhynchus nerka,1867,0.062247858,16S,C16,IPSF,0,0
C16.IPSF.2,2,Oncorhynchus nerka,3044,0.063044964,16S,C16,IPSF,0,0
C16.IPSF.3,3,Oncorhynchus nerka,1514,0.060119922,16S,C16,IPSF,0,0
C16.NPHF.1,1,Oncorhynchus nerka,10338,0.067231591,16S,C16,NPHF,0,0
C16.NPHF.2,2,Oncorhynchus nerka,8875,0.065475927,16S,C16,NPHF,0,0
C16.NPHF.3,3,Oncorhynchus nerka,10515,0.065919805,16S,C16,NPHF,0,0
C16.PGTF.1,1,Oncorhynchus nerka,3330,0.051411104,16S,C16,PGTF,1,0
C16.PGTF.2,2,Oncorhynchus nerka,2604,0.052252433,16S,C16,PGTF,1,0
C16.PGTF.3,3,Oncorhynchus nerka,3429,0.052444825,16S,C16,PGTF,1,0
C16.QMMM.1,1,Oncorhynchus nerka,185,0.052661543,16S,C16,QMMM,0,0
C16.QMMM.2,2,Oncorhynchus nerka,124,0.054505495,16S,C16,QMMM,0,0
C16.QMMM.3,3,Oncorhynchus nerka,214,0.042885772,16S,C16,QMMM,0,0
LRY.PGTF.1,1,Oncorhynchus nerka,39451,0.142348382,COI,LRY,PGTF,1,0
LRY.PGTF.2,2,Oncorhynchus nerka,40886,0.144631417,COI,LRY,PGTF,1,0
LRY.PGTF.3,3,Oncorhynchus nerka,41238,0.144365988,COI,LRY,PGTF,1,0
LRY.QMMM.1,1,Oncorhynchus nerka,101020,0.25917583,COI,LRY,QMMM,0,0
LRY.QMMM.2,2,Oncorhynchus nerka,96682,0.25073718,COI,LRY,QMMM,0,0
LRY.QMMM.3,3,Oncorhynchus nerka,58957,0.239457214,COI,LRY,QMMM,0,0
MFU.IPSF.1,1,Oncorhynchus nerka,8692,0.072442389,12S,MFU,IPSF,0,0
MFU.IPSF.2,2,Oncorhynchus nerka,8182,0.069448453,12S,MFU,IPSF,0,0
MFU.IPSF.3,3,Oncorhynchus nerka,8168,0.070382242,12S,MFU,IPSF,0,0
MFU.IPSF.BSA.1,1,Oncorhynchus nerka,6307,0.056017906,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.2,2,Oncorhynchus nerka,6691,0.055642412,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.3,3,Oncorhynchus nerka,5522,0.052716997,12S,MFU,IPSF,1,0
MFU.IPSF.TD.1,1,Oncorhynchus nerka,4847,0.050733208,12S,MFU,IPSF,0,1
MFU.IPSF.TD.2,2,Oncorhynchus nerka,4422,0.055419784,12S,MFU,IPSF,0,1
MFU.IPSF.TD.3,3,Oncorhynchus nerka,3257,0.049769261,12S,MFU,IPSF,0,1
MFU.NPHF.1,1,Oncorhynchus nerka,7192,0.05435637,12S,MFU,NPHF,0,0
MFU.NPHF.2,2,Oncorhynchus nerka,8737,0.055074035,12S,MFU,NPHF,0,0
MFU.NPHF.3,3,Oncorhynchus nerka,9262,0.056958016,12S,MFU,NPHF,0,0
MFU.NPHF.BSA.1,1,Oncorhynchus nerka,9576,0.057472092,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.2,2,Oncorhynchus nerka,7994,0.054471367,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.3,3,Oncorhynchus nerka,5969,0.060004423,12S,MFU,NPHF,1,0
MFU.NPHF.TD.1,1,Oncorhynchus nerka,2825,0.03760099,12S,MFU,NPHF,0,1
MFU.NPHF.TD.2,2,Oncorhynchus nerka,3960,0.041443836,12S,MFU,NPHF,0,1
MFU.NPHF.TD.3,3,Oncorhynchus nerka,4941,0.039025353,12S,MFU,NPHF,0,1
MFU.PGTF.BSA.1,1,Oncorhynchus nerka,10065,0.063385204,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.2,2,Oncorhynchus nerka,9692,0.064384981,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.3,3,Oncorhynchus nerka,11576,0.063906371,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.4,4,Oncorhynchus nerka,6574,0.051121341,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.5,5,Oncorhynchus nerka,4480,0.050316161,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.6,6,Oncorhynchus nerka,4353,0.051106545,12S,MFU,PGTF,1,0
MFU.PGTF.1,1,Oncorhynchus nerka,5270,0.056466302,12S,MFU,PGTF,0,0
MFU.PGTF.2,2,Oncorhynchus nerka,6484,0.054904949,12S,MFU,PGTF,0,0
MFU.PGTF.3,3,Oncorhynchus nerka,5713,0.051530212,12S,MFU,PGTF,0,0
MFU.PGTF.TD.1,1,Oncorhynchus nerka,6013,0.059257726,12S,MFU,PGTF,0,1
MFU.PGTF.TD.2,2,Oncorhynchus nerka,6461,0.05599175,12S,MFU,PGTF,0,1
MFU.PGTF.TD.3,3,Oncorhynchus nerka,4081,0.055056392,12S,MFU,PGTF,0,1
MFU.QMMM.1,1,Oncorhynchus nerka,10797,0.070074897,12S,MFU,QMMM,0,0
MFU.QMMM.2,2,Oncorhynchus nerka,9619,0.069255249,12S,MFU,QMMM,0,0
MFU.QMMM.3,3,Oncorhynchus nerka,8127,0.074780544,12S,MFU,QMMM,0,0
MFU.QMMM.BSA.1,1,Oncorhynchus nerka,28975,0.061620486,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.2,2,Oncorhynchus nerka,26825,0.060190005,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.3,3,Oncorhynchus nerka,28889,0.057325359,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.4,4,Oncorhynchus nerka,6683,0.059223877,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.5,5,Oncorhynchus nerka,6464,0.058954434,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.6,6,Oncorhynchus nerka,7025,0.058254762,12S,MFU,QMMM,1,0
MFU.QMMM.TD.1,1,Oncorhynchus nerka,10089,0.063238852,12S,MFU,QMMM,0,1
MFU.QMMM.TD.2,2,Oncorhynchus nerka,8275,0.067083897,12S,MFU,QMMM,0,1
MFU.QMMM.TD.3,3,Oncorhynchus nerka,7784,0.06468501,12S,MFU,QMMM,0,1
MV1.IPSF.1,1,Oncorhynchus nerka,8370,0.056143975,12S,MV1,IPSF,0,0
MV1.IPSF.2,2,Oncorhynchus nerka,6936,0.050902312,12S,MV1,IPSF,0,0
MV1.IPSF.3,3,Oncorhynchus nerka,4614,0.055748203,12S,MV1,IPSF,0,0
MV1.NPHF.1,1,Oncorhynchus nerka,7201,0.045792158,12S,MV1,NPHF,0,0
MV1.NPHF.2,2,Oncorhynchus nerka,6834,0.04611585,12S,MV1,NPHF,0,0
MV1.NPHF.3,3,Oncorhynchus nerka,3612,0.047018393,12S,MV1,NPHF,0,0
MV1.NPHF.BSA.1,1,Oncorhynchus nerka,8613,0.050603089,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.2,2,Oncorhynchus nerka,6702,0.048797891,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.3,3,Oncorhynchus nerka,7336,0.05052794,12S,MV1,NPHF,1,0
MV1.PGTF.1,1,Oncorhynchus nerka,8736,0.051573901,12S,MV1,PGTF,1,0
MV1.PGTF.2,2,Oncorhynchus nerka,7535,0.048895234,12S,MV1,PGTF,1,0
MV1.PGTF.3,3,Oncorhynchus nerka,6454,0.049494245,12S,MV1,PGTF,1,0
MV1.PGTF.TD.1,1,Oncorhynchus nerka,5127,0.030236728,12S,MV1,PGTF,1,1
MV1.PGTF.TD.2,2,Oncorhynchus nerka,3295,0.030930545,12S,MV1,PGTF,1,1
MV1.PGTF.TD.3,3,Oncorhynchus nerka,5149,0.034792656,12S,MV1,PGTF,1,1
MV1.QMMM.1,1,Oncorhynchus nerka,7153,0.053465583,12S,MV1,QMMM,0,0
MV1.QMMM.2,2,Oncorhynchus nerka,8964,0.053408644,12S,MV1,QMMM,0,0
MV1.QMMM.3,3,Oncorhynchus nerka,5823,0.052086874,12S,MV1,QMMM,0,0
MV3.IPSF.1,1,Oncorhynchus nerka,11355,0.051503606,16S,MV3,IPSF,0,0
MV3.IPSF.2,2,Oncorhynchus nerka,1861,0.050600903,16S,MV3,IPSF,0,0
MV3.IPSF.3,3,Oncorhynchus nerka,1729,0.053010792,16S,MV3,IPSF,0,0
MV3.NPHF.1,1,Oncorhynchus nerka,11576,0.04520939,16S,MV3,NPHF,0,0
MV3.NPHF.2,2,Oncorhynchus nerka,2871,0.045135122,16S,MV3,NPHF,0,0
MV3.NPHF.3,3,Oncorhynchus nerka,3058,0.037813775,16S,MV3,NPHF,0,0
MV3.PGTF.1,1,Oncorhynchus nerka,2812,0.041323164,16S,MV3,PGTF,1,0
MV3.PGTF.2,2,Oncorhynchus nerka,6416,0.042316875,16S,MV3,PGTF,1,0
MV3.PGTF.3,3,Oncorhynchus nerka,3123,0.040431372,16S,MV3,PGTF,1,0
MV3.PGTF.TD.1,1,Oncorhynchus nerka,6381,0.0395265,16S,MV3,PGTF,1,1
MV3.PGTF.TD.2,2,Oncorhynchus nerka,3244,0.035407889,16S,MV3,PGTF,1,1
MV3.PGTF.TD.3,3,Oncorhynchus nerka,3961,0.033320154,16S,MV3,PGTF,1,1
MV3.QMMM.1,1,Oncorhynchus nerka,10783,0.042266716,16S,MV3,QMMM,0,0
