Species_name,MFU-CPS-mock2-even-d1-1_S1,MFU-CPS-mock2-even-d1-2_S2,MFU-CPS-mock2-even-d1-3_S3,MFU-CPS-mock2-skew-d1-1_S9,MFU-CPS-mock2-skew-d1-2_S10,MFU-CPS-mock2-skew-d1-3_S11,MFU-CPS-mock3-even-d1-1_S4,MFU-CPS-mock3-even-d1-2_S5,MFU-CPS-mock3-even-d1-3_S6,MFU-CPS-mock3-skew-d1-1_S12,MFU-CPS-mock3-skew-d1-2_S13,MFU-CPS-mock3-skew-d1-3_S14,MFU-CPS-mock4-even-d1-1_S127,MFU-CPS-mock4-even-d1-2_S128,MFU-CPS-mock4-even-d1-3_S129,MFU-CPS-mock4-skew-d1-1_S130,MFU-CPS-mock4-skew-d1-2_S131,MFU-CPS-mock4-skew-d1-3_S132,MFU-KAT-B22-d1-1_S87,MFU-KAT-B25-d1-1_S88,MFU-KAT-B26-d1-1_S89,MFU-OCNMS-2022-1-d100-1_S17,MFU-OCNMS-2022-10-d10-1_S26,MFU-OCNMS-2022-11-d10-1_S27,MFU-OCNMS-2022-12-d10-1_S28,MFU-OCNMS-2022-13-d1-1_S29,MFU-OCNMS-2022-14-d10-1_S30,MFU-OCNMS-2022-15-d10-1_S31,MFU-OCNMS-2022-16-d1-1_S32,MFU-OCNMS-2022-17-d10-1_S33,MFU-OCNMS-2022-18-d10-1_S34,MFU-OCNMS-2022-19-d10-1_S35,MFU-OCNMS-2022-2-d10-1_S18,MFU-OCNMS-2022-20-d10-1_S36,MFU-OCNMS-2022-21-d10-1_S37,MFU-OCNMS-2022-22-d10-1_S38,MFU-OCNMS-2022-23-d10-1_S39,MFU-OCNMS-2022-3-d10-1_S19,MFU-OCNMS-2022-4-d1-1_S20,MFU-OCNMS-2022-5-d10-1_S21,MFU-OCNMS-2022-6-d1-1_S22,MFU-OCNMS-2022-7-d10-1_S23,MFU-OCNMS-2022-8-d10-1_S24,MFU-OCNMS-2022-9-d10-1_S25,MFU-OCNMS-2022-EB-d1-1_S40,MFU-mock1-even-d1-1_S41,MFU-mock1-even-d1-2_S42,MFU-mock1-even-d1-3_S43,MFU-mock1-skew-d1-1_S44,MFU-mock1-skew-d1-2_S45,MFU-mock1-skew-d1-3_S46,MFU-pos-control-d1-1_S8,MFU-pos-control-d1-2_S16,MV1-CPS-mock2-even-d1-1_S47,MV1-CPS-mock2-even-d1-2_S48,MV1-CPS-mock2-even-d1-3_S49,MV1-CPS-mock2-skew-d1-1_S55,MV1-CPS-mock2-skew-d1-2_S56,MV1-CPS-mock2-skew-d1-3_S57,MV1-CPS-mock3-even-d1-1_S50,MV1-CPS-mock3-even-d1-2_S51,MV1-CPS-mock3-even-d1-3_S52,MV1-CPS-mock3-skew-d1-1_S58,MV1-CPS-mock3-skew-d1-2_S59,MV1-CPS-mock3-skew-d1-3_S60,MV1-CPS-mock4-even-d1-1_S121,MV1-CPS-mock4-even-d1-2_S122,MV1-CPS-mock4-even-d1-3_S123,MV1-CPS-mock4-skew-d1-1_S124,MV1-CPS-mock4-skew-d1-2_S125,MV1-CPS-mock4-skew-d1-3_S126,MV1-NTC-d1-2_S53,MV1-OCNMS-2022-1-d100-1_S63,MV1-OCNMS-2022-10-d10-1_S72,MV1-OCNMS-2022-11-d10-1_S73,MV1-OCNMS-2022-12-d10-1_S74,MV1-OCNMS-2022-13-d1-1_S75,MV1-OCNMS-2022-14-d10-1_S76,MV1-OCNMS-2022-15-d10-1_S77,MV1-OCNMS-2022-16-d1-1_S78,MV1-OCNMS-2022-17-d10-1_S79,MV1-OCNMS-2022-18-d10-1_S80,MV1-OCNMS-2022-19-d10-1_S81,MV1-OCNMS-2022-2-d10-1_S64,MV1-OCNMS-2022-20-d10-1_S82,MV1-OCNMS-2022-21-d10-1_S83,MV1-OCNMS-2022-22-d10-1_S84,MV1-OCNMS-2022-23-d10-1_S85,MV1-OCNMS-2022-3-d10-1_S65,MV1-OCNMS-2022-4-d1-1_S66,MV1-OCNMS-2022-5-d10-1_S67,MV1-OCNMS-2022-6-d1-1_S68,MV1-OCNMS-2022-7-d10-1_S69,MV1-OCNMS-2022-8-d10-1_S70,MV1-OCNMS-2022-9-d10-1_S71,MV1-OCNMS-2022-EB-d1-1_S86,MV1-pos-control-d1-1_S62,MV1-pos-control-d1-2_S54
Tactostoma macropus,6294,6553,4349,10760,13550,12089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6894,4163,3545,16718,4910,6311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitonotus pugetensis,0,0,0,0,0,0,0,0,0,0,0,0,7262,8588,14219,24445,25644,5576,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sculpin_gg,5470,5891,4080,12347,14807,13732,0,0,0,0,0,0,1718,1945,3317,6039,6051,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarletonbeania crenularis,4628,4840,3034,5218,6048,5709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9171,5387,5072,15660,4094,5603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexagrammos decagrammus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,18,0,1060,1185,3044,0,1296,1220,497,0,303,118,1383,62,306,525,93,773,428,166,0,3577,1838,14449,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7194,460,2331,0,647,1463,1721,0,1420,0,9647,90,1074,286,566,564,1768,12,0,6718,738,1808,0,0,0
Citharichthys sordidus,11828,12274,7890,11556,13717,12408,0,7,8,7,17,28,0,5,7,4,17,6,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trachurus symmetricus,1209,1381,1093,247,232,277,1170,1718,1363,96,90,119,581,680,1145,83,80,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9218,8412,5584,4086,4885,8237,0,0,2617,1570,1488,631,191,243,2474,2152,1625,131,84,92,690,889,414,18,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuroglossus schmidti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7422,7725,5152,11169,11172,18929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus spp.  ||  Oncorhynchus clarkii | Oncorhynchus gilae | Oncorhynchus mykiss,0,0,0,0,0,0,2684,4619,3704,1817,2402,1983,1475,1866,2984,3384,3636,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4503,4352,3309,2259,1384,1765,1677,2308,1058,1524,1525,4534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastes spp.  ||  Sebastes alutus | Sebastes babcocki | Sebastes brevispinis | Sebastes elongatus | Sebastes emphaeus | Sebastes flavidus | Sebastes helvomaculatus | Sebastes melanops | Sebastes miniatus | Sebastes pinniger | Sebastes rosaceus | Sebastes ruberrimus | Sebastes zacentrus | Sebastes thompsoni | Sebastes joyneri | Sebastes inermis | Sebastes pachycephalus | Sebastes steindachneri | Sebastes taczanowskii | Sebastes aleutianus | Sebastes schlegelii | Sebastes proriger | Sebastes ventricosus | Sebastes nudus | Sebastes cheni | Sebastes baramenuke | Sebastes constellatus | Sebastes eos | Sebastes hubbsi | Sebastes longispinis | Sebastes oculatus | Sebastes owstoni | Sebastes phillipsi | Sebastes wakiyai | Sebastes wilsoni,0,14,13,21,27,17,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,512,2434,0,0,346,574,136,0,346,314,2274,479,0,96,50,686,4237,11245,0,12678,1817,20706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
