"qseqid","ssciname","pident"
"56b85a262e73a6e60ef0c6d33c4d23a70da33cc0","Sebastes spp.  ||  Sebastes alutus | Sebastes babcocki | Sebastes brevispinis | Sebastes elongatus | Sebastes emphaeus | Sebastes flavidus | Sebastes helvomaculatus | Sebastes melanops | Sebastes miniatus | Sebastes pinniger | Sebastes rosaceus | Sebastes ruberrimus | Sebastes zacentrus | Sebastes thompsoni | Sebastes joyneri | Sebastes inermis | Sebastes pachycephalus | Sebastes steindachneri | Sebastes taczanowskii | Sebastes aleutianus | Sebastes schlegelii | Sebastes proriger | Sebastes ventricosus | Sebastes nudus | Sebastes cheni | Sebastes baramenuke | Sebastes constellatus | Sebastes eos | Sebastes hubbsi | Sebastes longispinis | Sebastes oculatus | Sebastes owstoni | Sebastes phillipsi | Sebastes wakiyai | Sebastes wilsoni","1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1"
"9a69c3a268c7129726a4be25bfaacf024a80a18a","Oncorhynchus keta","1"
"6a2cd6fc4e4108d021c8b379a0712e9888431836","Tactostoma macropus","1"
"a637bf43d5e132d153855d8251665d935ea12a0b","Ophiodon elongatus","1"
"2d069d6128ed64aa351b164d45bf7f6f5387f663","Trachurus symmetricus","1"
"478dd98db3a0a5b681d314fcd6aa476db6e43489","Thaleichthys pacificus","1"
"588d28fb5bda80699518fa5eb07009f142c62aa6","Scomber japonicus","0.994"
"72d93a313d0244edae1cc9229ebd2525ddaec2ed","Merluccius productus","1"
"f3a80a1e9eaff2230ee09ea1b07fa5a0f39277e1","Citharichthys stigmaeus","1"
"fe251dac0c8406b0412dd9fb19122f8025a7f692","Osphranter rufus","1"
"57b8e6bb272d3b455e6af9bc845eab53580d2b01","Sebastes entomelas","1"
"87a3a870417e249a2623c627c336ba66e1b5527a","Tarletonbeania crenularis","1"
"76efe4aacef9d19b29eb515c2163486b08b4691a","Tactostoma macropus","1"
"b05eac0ae6bebbb0f133eb32789a54e3cb90ddbe","Cymatogaster aggregata","1"
"92e367352aeed8b876b13ae8130c0716d155ca1d","Microstomus pacificus","1"
"a36e764085f2df5057acd708a77653682db6a4fe","Nautichthys oculofasciatus","1"
"3d054ea4e3889c029fda834fab1ffd58a56baef1","Hexagrammos decagrammus","1"
"b945addeef9b0cbd4aa066d41d81519d5f7bebb8","Lumpenus sagitta","1"
"aa6ce908117326de02645020a33f408658c76d60","Diogenichthys atlanticus","1"
"8e445f971f8ba5281abd31b96174fc52fb9eb8a4","Pholis laeta","1"
"b6ef827691934a99b544e2b07b803ed0d6e12fbf","Homo sapiens","1"
"202fbc12ca243f5af6d80ef9fb8a47d52bb8fd5b","Hexagrammos decagrammus","1"
"f3b1b944f738536215cd355d76bc8c2bffd66624","Oncorhynchus mykiss","0.994"
"31adf9b0bfe620438b8e730fd474cc27e61c3cc4","Gasterosteus aculeatus","1"
"815465bf4218c40e60200ea518c5d7cbabd61f1c","Engraulis mordax","1"
"daa34294e48a59ab17cb5ff14fc2f2c72a6aa9f6","Oncorhynchus mykiss","0.994"
"6c49506da20cc547068ee28d02b3031d23916380","Tarletonbeania crenularis","1"
"ef6cede479f79d3fc46a42bacef3bb2430bab804","Clupea pallasii","0.994"
"1828062f7c59ec74511a61e06a73bf51d07637a2","Gallus gallus","1"
"fb959fffd2ff9552773d938f6c913e6213331861","Leptocottus armatus","1"
"fd29fea4657ee55d24729a8144cbfe6a63dc410e","Clupea pallasii","0.994"
"810a9a43ea3b63b86c5e1480c83a7492690654a5","Trachurus symmetricus","1"
"8eaa47f9ceccd67188f5b23ce0ad55a419f2706c","Leptocottus armatus","1"
