"","Species","MFU-52193-1024-1-d1_S36","MFU-52193-1044-1-d1_S77","MFU-52193-1048-1-d1_S38","MFU-52193-1079-1-d1_S52","MFU-52193-1091-1-d1_S44","MFU-52193-1093-1-d1_S48","MFU-52193-1115-1-d1_S84","MFU-52193-1139-1-d5_S63","MFU-52193-1157-1-d1_S78","MFU-52193-1201-1-d5_S87","MFU-52193-1231-1-d1_S82","MFU-52193-124-1-d1_S55","MFU-52193-1243-1-d1_S10","MFU-52193-1253-1-d1_S81","MFU-52193-1267-1-d1_S23","MFU-52193-1275-1-d5_S16","MFU-52193-1279-1-d5_S62","MFU-52193-1281-1-d1_S45","MFU-52193-1295-1-d1_S34","MFU-52193-1299-1-d5_S60","MFU-52193-1314-1-d5_S4","MFU-52193-1334-1-d1_S40","MFU-52193-1385-1-d1_S74","MFU-52193-1449-1-d1_S71","MFU-52193-1453-1-d1_S83","MFU-52193-1474-1-d1_S80","MFU-52193-150-1-d5_S86","MFU-52193-1501-1-d1_S13","MFU-52193-1555-1-d1_S42","MFU-52193-156-1-d1_S56","MFU-52193-1575-1-d1_S21","MFU-52193-1591-1-d1_S88","MFU-52193-170-1-d1_S33","MFU-52193-1700-1-d1_S7","MFU-52193-1735-1-d5_S47","MFU-52193-178-1-d1_S30","MFU-52193-1811-1-d1_S54","MFU-52193-182-1-d1_S22","MFU-52193-1861-1-d1_S15","MFU-52193-1869-1-d1_S69","MFU-52193-1871-1-d1_S18","MFU-52193-202-1-d1_S66","MFU-52193-227-1-d1_S75","MFU-52193-300-1-d1_S17","MFU-52193-332-1-d5_S2","MFU-52193-338-1-d1_S64","MFU-52193-352-1-d1_S26","MFU-52193-372-1-d1_S76","MFU-52193-408-1-d1_S57","MFU-52193-423-1-d1_S35","MFU-52193-435-1-d1_S31","MFU-52193-506-1-d1_S49","MFU-52193-517-1-d1_S19","MFU-52193-529-1-d1_S85","MFU-52193-617-1-d1_S72","MFU-52193-62-1-d1_S29","MFU-52193-645-1-d1_S67","MFU-52193-700-1-d1_S50","MFU-52193-72-1-d1_S24","MFU-52193-734-1-d5_S79","MFU-52193-789-1-d1_S5","MFU-52193-808-1-d5_S11","MFU-52193-823-1-d1_S9","MFU-52193-847-1-d1_S37","MFU-52193-874-1-d5_S68","MFU-52193-878-1-d1_S39","MFU-52193-898-1-d5_S27","MFU-52193-910-1-d5_S51","MFU-52193-977-1-d1_S53","MFU-52193-979-1-d1_S3","MFU-52193-991-1-d1_S8","MFU-52193-993-1-d5_S41","MFU-52193-997-1-d1_S20"
"28","Nansenia candida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2731,0,0,0,0,0,0,0,0,9818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16914,8284,4469,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Tactostoma macropus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31541,576,2774,0,0,0,0,0,0,0,424,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,3386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,0,0,0,0,0,0,0,0
"30","Apristurus brunneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Ceratoscopelus townsendi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836,0,0,0,0,0,2360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Eopsetta jordani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Nannobrachium regale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Leuroglossus schmidti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2044,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Gasterosteus aculeatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Microgadus proximus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Gadus chalcogrammus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Anarrhichthys ocellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Bathylagus pacificus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5347,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012,0,0,0,0
"40","Parvilux ingens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2905,0,0,0,0
"41","Lycodes diapterus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,4052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Trachipterus altivelis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3460,0,0,0,0,0,0,0,0,0,688,0,0,0,0,0,0,1626,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Leptocottus armatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Magnisudis atlantica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,3848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4316,0,0,0,0
"45","Lipolagus ochotensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,0,0,0,0,0,0,0,1339,0,0,185,0,0,0,0,0,0,0
"46","Beringraja binoculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"47","Liparis fucensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Artedius fenestralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Beringraja rhina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Ziphius cavirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Balaenoptera physalus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Bos taurus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Serrivomer sector",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Hydrolagus colliei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476
"55","Cyclothone atraria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Hexagrammos decagrammus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Bathylagoides wesethi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Megaptera novaeangliae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,752,0,457,0,0,0,0,0,0,0,0,0,0,0,0
"59","Lampadena urophaos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Citharichthys stigmaeus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0
"61","Ophiodon elongatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456
